app_name,mouse_activity,hour,day_of_week,mode
Excel,8,10,1,Work
VS Code,9,11,1,Work
Netflix,1,20,1,Relax
Spotify,2,21,1,Relax
Outlook,5,9,2,Work
Teams,4,14,2,Work
Steam,9,22,5,Gaming
PowerPoint,6,15,3,Work
Chrome,3,19,4,Relax
Word,7,13,2,Work
VS Code,8,10,2,Work
Netflix,2,19,5,Relax
Excel,7,16,3,Work
Spotify,1,22,6,Relax
Teams,5,11,4,Work
Excel,7,09,1,Work
VS Code,8,10,1,Work
Netflix,2,21,1,Relax
Spotify,1,22,1,Relax
Outlook,6,10,2,Work
Teams,5,15,2,Work
Steam,8,23,5,Gaming
PowerPoint,7,14,3,Work
Chrome,2,20,4,Relax
Word,6,12,2,Work
VS Code,9,09,2,Work
Netflix,1,20,5,Relax
Excel,8,15,3,Work
Spotify,2,23,6,Relax
Teams,4,10,4,Work
Excel,9,11,1,Work
VS Code,7,12,1,Work
Netflix,3,19,1,Relax
Spotify,3,20,1,Relax
Outlook,4,08,2,Work
Teams,6,13,2,Work
Steam,7,21,5,Gaming
PowerPoint,5,16,3,Work
Chrome,1,18,4,Relax
Word,8,14,2,Work
VS Code,7,11,2,Work
Netflix,3,21,5,Relax
Excel,6,17,3,Work
Spotify,2,21,6,Relax
Teams,6,12,4,Work
Excel,5,10,5,Work
VS Code,6,14,5,Work
Netflix,1,22,2,Relax
Spotify,4,19,3,Relax
Outlook,7,11,3,Work
Teams,3,16,1,Work
